,x,y,gamma1,gamma2
410,0.41041041041041043,0.9380816315003525,1.1306019475857596,1.119768273037651
411,0.4114114114114114,0.9382934946510225,1.1299637453486664,1.1201826982581917
412,0.4124124124124124,0.938504577066951,1.129328316529292,1.1205974150255478
413,0.4134134134134134,0.9387148835586051,1.12869564704896,1.1210124227834883
414,0.4144144144144144,0.9389244188942579,1.1280657229263555,1.1214277209816554
415,0.41541541541541543,0.9391331878005413,1.127438530276712,1.1218433090755062
416,0.4164164164164164,0.9393411949628351,1.1268140553109993,1.1222591865262659
417,0.4174174174174174,0.9395484450257943,1.1261922843351273,1.122675352800872
418,0.4184184184184184,0.9397549425938015,1.1255732037491524,1.1230918073719267
419,0.4194194194194194,0.9399606922313584,1.1249568000464876,1.1235085497176465
420,0.42042042042042044,0.9401656984636099,1.1243430598131319,1.123925579321809
421,0.4214214214214214,0.9403699657767315,1.1237319697268993,1.1243428956737072
422,0.4224224224224224,0.9405734986183534,1.1231235165566549,1.1247604982680974
423,0.42342342342342343,0.9407763013980431,1.1225176871615603,1.1251783866051517
424,0.4244244244244244,0.9409783784876714,1.1219144684903257,1.1255965601904123
425,0.42542542542542544,0.9411797342218579,1.1213138475804745,1.1260150185347375
426,0.4264264264264264,0.9413803728983559,1.1207158115576046,1.126433761154261
427,0.4274274274274274,0.9415802987784948,1.1201203476346635,1.1268527875703405
428,0.42842842842842843,0.9417795160875517,1.119527443111233,1.1272720973095134
429,0.4294294294294294,0.9419780290151316,1.1189370853728127,1.1276916899034508
430,0.43043043043043044,0.9421758417155957,1.1183492618901159,1.1281115648889102
431,0.4314314314314314,0.9423729583084132,1.117763960218377,1.1285317218076896
432,0.43243243243243246,0.9425693828785575,1.1171811679966466,1.1289521602065866
433,0.43343343343343343,0.9427651194768731,1.116600872947123,1.1293728796373497
434,0.4344344344344344,0.9429601721204114,1.116023062874459,1.1297938796566365
435,0.43543543543543545,0.9431545447928756,1.1154477256650994,1.130215159825969
436,0.4364364364364364,0.9433482414448827,1.1148748492866118,1.1306367197116909
437,0.43743743743743746,0.9435412659944213,1.114304421787025,1.1310585588849247
438,0.43843843843843844,0.9437336223270724,1.1137364312941809,1.131480676921528
439,0.4394394394394394,0.9439253142964624,1.1131708660150847,1.1319030734020519
440,0.44044044044044045,0.9441163457245992,1.1126077142352624,1.132325747911702
441,0.44144144144144143,0.9443067204021244,1.1120469643181317,1.132748700040291
442,0.44244244244244246,0.9444964420887191,1.1114886047043666,1.1331719293822027
443,0.44344344344344344,0.9446855145133985,1.1109326239112798,1.1335954355363507
444,0.4444444444444444,0.9448739413748645,1.110379010532202,1.1340192181061346
445,0.44544544544544545,0.9450617263417999,1.1098277532358751,1.1344432766994046
446,0.44644644644644643,0.945248873053165,1.1092788407658425,1.1348676109284186
447,0.44744744744744747,0.9454353851185703,1.1087322619398519,1.1352922204098044
448,0.44844844844844844,0.9456212661185087,1.1081880056492621,1.1357171047645198
449,0.4494494494494494,0.9458065196047472,1.1076460608584504,1.1361422636178151
450,0.45045045045045046,0.9459911491005111,1.107106416604234,1.1365676965991947
451,0.45145145145145144,0.9461751581008936,1.1065690619952915,1.136993403342378
452,0.45245245245245247,0.946358550073073,1.1060339862115895,1.137419383485263
453,0.45345345345345345,0.9465413284566342,1.1055011785038136,1.137845636669889
454,0.4544544544544544,0.9467234966638282,1.1049706281928133,1.1382721625423986
455,0.45545545545545546,0.94690505807989,1.1044423246690416,1.1386989607530027
456,0.45645645645645644,0.9470860160632897,1.1039162573920018,1.1391260309559417
457,0.4574574574574575,0.9472663739459943,1.1033924158897035,1.1395533728094547
458,0.45845845845845845,0.9474461350337844,1.1028707897581247,1.1399809859757366
459,0.45945945945945943,0.9476253026064596,1.102351368660672,1.1404088701209087
